	userid	topic_num	query	docno	url	query_index	click_index	usefulness_annotation
1340	8	7	戒烟的益处	13530	http://www.cndzys.com/renqun/nanxing/236443.html	1	0	2
1341	8	7	戒烟的益处	13532	http://bjcs.vivijk.com/zt/jieyan/	1	1	4
1342	8	7	戒烟副作用	2602	http://www.tuxi.com.cn/viewb-374-3749305.html	2	0	1
1343	8	7	戒烟副作用	2604	http://www.ew9z.com/jieyandefuzuoyong.html	2	1	4
1344	3	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	3
1345	3	7	戒烟好处	1895	http://www.zs-hospital.sh.cn/kyw/jy/1.htm	1	0	3
1346	3	7	戒烟副作用	2604	http://www.ew9z.com/jieyandefuzuoyong.html	2	0	4
1347	23	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	0	1
1348	23	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	1	1
1349	23	7	戒烟	196	http://www.jieyanri.com/	0	2	4
1350	13	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	0	1
1351	13	7	戒烟	198	http://www.pcbaby.com.cn/qzbd/bjys/1202/1090317.html	0	1	2
1352	5	7	戒烟	196	http://www.jieyanri.com/	0	0	1
1353	5	7	戒烟	197	http://man.39.net/nxbj/091/18/775462.html	0	1	4
1354	5	7	戒烟	200	http://movie.douban.com/subject/1470734/	0	2	1
1355	5	7	戒烟	203	http://bjcs.vivijk.com/zt/jieyan/	0	3	3
1356	5	7	戒烟好处	1895	http://www.zs-hospital.sh.cn/kyw/jy/1.htm	1	0	4
1357	5	7	戒烟副作用	2603	http://kuaiwen.pcbaby.com.cn/question/30952.html	2	0	1
1358	5	7	戒烟副作用	2604	http://www.ew9z.com/jieyandefuzuoyong.html	2	1	3
1359	5	7	戒烟副作用	2608	http://health.sohu.com/20080617/n257543693.shtml	2	2	1
1360	5	7	戒烟副作用	2611	http://7jk.org/baojian/c/943987.html	2	3	2
1361	22	7	戒烟	196	http://www.jieyanri.com/	0	0	4
1362	21	8	谷歌眼镜	1483	http://www.google.com/glass/start/what-it-does/	0	0	1
1363	21	8	谷歌眼镜	1485	http://news.zol.com.cn/tech/googleglass/	0	1	2
